district_id,district_name,state_name,current_coverage,sarath_coverage,proposed_coverage,current_sensors,sarath_sensors,proposed_sensors
1,Uttar Pradesh_District_1,Uttar Pradesh,32.37442598749132,60.30426603832592,89.21470768351297,1,5,11
2,Uttar Pradesh_District_2,Uttar Pradesh,19.29340579142153,29.658591292755112,64.45373387547609,1,6,5
3,Uttar Pradesh_District_3,Uttar Pradesh,8.255655904677699,37.06339905273519,62.41514603336709,1,5,5
4,Uttar Pradesh_District_4,Uttar Pradesh,26.118493609184384,50.52104718375561,79.63837113729129,1,5,11
5,Uttar Pradesh_District_5,Uttar Pradesh,11.677960407504159,39.027486161174934,64.27778496844356,1,5,11
6,Uttar Pradesh_District_6,Uttar Pradesh,27.381566704658166,69.4637109058875,82.56641841186928,3,6,11
7,Uttar Pradesh_District_7,Uttar Pradesh,13.70263281882325,55.32658962275726,91.31433773409442,1,6,5
8,Uttar Pradesh_District_8,Uttar Pradesh,19.209560480149563,51.220677315452996,92.59198455662778,0,6,5
9,Uttar Pradesh_District_9,Uttar Pradesh,33.13550460490352,29.893241228739925,92.52655511799463,1,7,8
10,Uttar Pradesh_District_10,Uttar Pradesh,26.946866378834788,67.0207153676433,99.52513379328158,3,4,9
11,Uttar Pradesh_District_11,Uttar Pradesh,2.547655128408479,61.454978654586405,97.42943351296675,0,7,7
12,Uttar Pradesh_District_12,Uttar Pradesh,33.17263595188145,56.44922487233478,73.76268606974863,0,3,7
13,Uttar Pradesh_District_13,Uttar Pradesh,32.68906896230461,50.152730723496006,94.7552680897497,1,6,5
14,Uttar Pradesh_District_14,Uttar Pradesh,16.56464792559337,52.975874561511425,92.40353735813791,2,3,8
15,Uttar Pradesh_District_15,Uttar Pradesh,10.381698272640666,44.88868954522084,91.95176811159519,3,5,8
16,Uttar Pradesh_District_16,Uttar Pradesh,39.03700743190181,53.3509179637661,82.50237998628397,2,6,9
17,Uttar Pradesh_District_17,Uttar Pradesh,31.11595945276545,65.96234737199005,75.95062568741542,2,4,11
18,Uttar Pradesh_District_18,Uttar Pradesh,24.561852105412743,48.77573498335294,76.10222688319922,4,3,9
19,Uttar Pradesh_District_19,Uttar Pradesh,30.603493511451084,39.5477800036931,91.81044124967426,2,6,8
20,Uttar Pradesh_District_20,Uttar Pradesh,21.37250435318625,27.962393501874764,92.4788595137706,4,2,7
21,Uttar Pradesh_District_21,Uttar Pradesh,21.813535494060016,37.179334607450556,68.4124831806431,0,4,5
22,Uttar Pradesh_District_22,Uttar Pradesh,37.49258554966144,48.793680320853674,72.06132069300452,4,2,9
23,Uttar Pradesh_District_23,Uttar Pradesh,12.18698286431476,29.882072175435397,68.21482720414522,2,7,11
24,Uttar Pradesh_District_24,Uttar Pradesh,17.60707333461133,52.32100754073418,93.03126888028328,0,4,10
25,Uttar Pradesh_District_25,Uttar Pradesh,7.928236719160426,56.31656461329976,77.5883564287634,4,2,5
26,Uttar Pradesh_District_26,Uttar Pradesh,34.701453357548495,66.52324352160485,94.14233712136682,3,7,7
27,Uttar Pradesh_District_27,Uttar Pradesh,19.606051330203698,61.71997059432763,71.89863630980236,4,6,5
28,Uttar Pradesh_District_28,Uttar Pradesh,24.060513145216138,63.21029225141517,79.24887368162946,4,7,9
29,Uttar Pradesh_District_29,Uttar Pradesh,24.625518783360928,21.64229525599118,99.41454747675678,4,4,8
30,Uttar Pradesh_District_30,Uttar Pradesh,37.829199255167865,23.293746052190862,78.94107209818543,3,7,6
31,Uttar Pradesh_District_31,Uttar Pradesh,10.137984709027723,57.54410376914702,92.12071663802377,2,7,6
32,Uttar Pradesh_District_32,Uttar Pradesh,28.527662706483135,57.44859977160118,64.71346115768524,0,2,6
33,Uttar Pradesh_District_33,Uttar Pradesh,6.639178142791398,59.58635361762586,74.90697011363,2,4,5
34,Uttar Pradesh_District_34,Uttar Pradesh,38.24647213168807,54.15312515428697,89.32402090701294,2,3,8
35,Uttar Pradesh_District_35,Uttar Pradesh,20.499368727713705,22.910466567840093,95.54193485465409,2,2,8
36,Uttar Pradesh_District_36,Uttar Pradesh,12.726393653145216,44.08969942774624,68.68127990621782,1,4,8
37,Uttar Pradesh_District_37,Uttar Pradesh,39.202620719630595,49.097690180003895,92.16329174086145,0,7,8
38,Uttar Pradesh_District_38,Uttar Pradesh,1.4921671479812115,61.83417403323352,89.70162746688328,2,6,5
39,Uttar Pradesh_District_39,Uttar Pradesh,25.316742370085294,62.15108598116075,70.17309208011747,3,3,11
40,Uttar Pradesh_District_40,Uttar Pradesh,9.51279872851249,33.05200038348465,92.70887147767435,0,2,6
41,Uttar Pradesh_District_41,Uttar Pradesh,0.191943742614189,47.063919137692935,66.79496230091681,1,4,10
42,Uttar Pradesh_District_42,Uttar Pradesh,36.286479915377136,58.38168859339366,96.17538768948262,4,2,7
43,Uttar Pradesh_District_43,Uttar Pradesh,2.563935346249675,28.633575092666323,87.11827179217886,4,6,9
44,Uttar Pradesh_District_44,Uttar Pradesh,27.633255666886658,60.43105485614545,60.55617768351819,0,5,5
45,Uttar Pradesh_District_45,Uttar Pradesh,21.170921480094425,54.8064538552383,81.8363244088843,2,2,6
46,Uttar Pradesh_District_46,Uttar Pradesh,39.24489555234007,22.41775615262934,67.34821037688106,1,5,10
47,Uttar Pradesh_District_47,Uttar Pradesh,14.747953532556352,28.980113133814775,98.64697850810022,0,5,9
48,Uttar Pradesh_District_48,Uttar Pradesh,26.749135557114947,40.97525286359911,66.5328392895341,1,6,9
49,Uttar Pradesh_District_49,Uttar Pradesh,26.813604579934758,32.257456260801085,88.6815500880929,1,7,10
50,Uttar Pradesh_District_50,Uttar Pradesh,6.464633322881905,37.165621721791226,99.12096375212136,2,5,7
51,Uttar Pradesh_District_51,Uttar Pradesh,1.2681579963665879,20.346490843404716,62.61566294940084,4,7,5
52,Uttar Pradesh_District_52,Uttar Pradesh,3.3309986753231113,42.786370306050614,69.53605778941937,1,3,5
53,Uttar Pradesh_District_53,Uttar Pradesh,9.92358417722421,53.17251923105742,95.36062143179878,1,3,6
54,Uttar Pradesh_District_54,Uttar Pradesh,11.330223969864178,36.507382136729426,84.20711580560696,3,4,5
55,Uttar Pradesh_District_55,Uttar Pradesh,11.616260715173464,33.136408205729005,91.1088385924823,3,2,5
56,Uttar Pradesh_District_56,Uttar Pradesh,10.864100937449424,42.84108050904791,67.83874352447744,2,5,9
57,Uttar Pradesh_District_57,Uttar Pradesh,1.4948980243029197,58.86907431747643,88.40906105468756,2,7,5
58,Uttar Pradesh_District_58,Uttar Pradesh,39.91641493909119,46.78156809765496,92.34464108405146,1,5,8
